F-n135-k7

HEAVY VEHICLE 
NUMBER     CAPACITY 
  7         2210 

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

   0        -6       15         0           0         1200        0
   1        3.2      5.1        30          0         1200        90
   2        24.6     8.3        226         0         1200        90
   3        23.3     1.3        37          0         1200        90
   4        27.8     8.3        24          0         1200        90
   5        29       8          36          0         1200        90
   6        31       8          1           0         1200        90
   7        33.5     10.5       31          0         1200        90
   8        30       10.5       24          0         1200        90
   9        29       10         30          0         1200        90
   10       26.5     11.7       24          0         1200        90
   11       28.3     14.3       24          0         1200        90
   12       27       14.3       32          0         1200        90
   13       23.5     19         24          0         1200        90
   14       26       20         24          0         1200        90
   15       25       20         19          0         1200        90
   16       20.5     19         24          0         1200        90
   17       -20      13         18          0         1200        90
   18       -21      14         36          0         1200        90
   19       -30      30         115         0         1200        90
   20       -5       30         24          0         1200        90
   21       1.3      17.8       24          0         1200        90
   22       1.8      13.8       61          0         1200        90
   23       1.8      13.1       71          0         1200        90
   24       2        13.6       36          0         1200        90
   25       4.8      17         18          0         1200        90
   26       7        15         30          0         1200        90
   27       9.8      16.6       31          0         1200        90
   28       11.4     14.5       36          0         1200        90
   29       14.4     11.3       18          0         1200        90
   30       11       12         1004        0         1200        90
   31       9.3      10.7       18          0         1200        90
   32       0.6      2.8        34          0         1200        90
   33       -30      -10        504         0         1200        90
   34       2        0          18          0         1200        90
   35       14.5     1          39          0         1200        90
   36       15       1.8        24          0         1200        90
   37       17.2     2.4        37          0         1200        90
   38       17.2     4.2        24          0         1200        90
   39       18.2     4.4        99          0         1200        90
   40       20.3     2.1        24          0         1200        90
   41       22.8     3.1        24          0         1200        90
   42       23       4          36          0         1200        90
   43       20.8     4          30          0         1200        90
   44       20.8     4          25          0         1200        90
   45       18.5     6.4        24          0         1200        90
   46       -14      16         122         0         1200        90
   47       -0.5     6.9        196         0         1200        90
   48       3.2      2.8        229         0         1200        90
   49       5.6      1.8        83          0         1200        90
   50       8.7      2.8        18          0         1200        90
   51       9        3.3        24          0         1200        90
   52       9        3.5        306         0         1200        90
   53       11.2     3.3        18          0         1200        90
   54       10.8     4.7        20          0         1200        90
   55       11.5     4.6        18          0         1200        90
   56       12.3     4.7        24          0         1200        90
   57       12.3     5.5        22          0         1200        90
   58       11.2     6.9        24          0         1200        90
   59       6.5      9.7        18          0         1200        90
   60       5.8      8.5        18          0         1200        90
   61       7.2      6          24          0         1200        90
   62       7.2      4          24          0         1200        90
   63       -4       -4         30          0         1200        90
   64       -3       1.2        24          0         1200        90
   65       -40      49         40          0         1200        90
   66       -15      10         166         0         1200        90
   67       -11      -10        254         0         1200        90
   68       -25      -20        187         0         1200        90
   69       -25      -35        94          0         1200        90
   70       -24      -35        17          0         1200        90
   71       -18      10         285         0         1200        90
   72       -2       10         24          0         1200        90
   73       -4       8          24          0         1200        90
   74       -3       5          205         0         1200        90
   75       2.1      6.2        23          0         1200        90
   76       -1.7     3          28          0         1200        90
   77       -3       2          51          0         1200        90
   78       -7       0          49          0         1200        90
   79       -3       -6         19          0         1200        90
   80       -30      -11        262         0         1200        90
   81       -62      -10        120         0         1200        90
   82       -8       30         266         0         1200        90
   83       1        60         704         0         1200        90
   84       10       52         38          0         1200        90
   85       10       52         18          0         1200        90
   86       10       51         30          0         1200        90
   87       16       29         25          0         1200        90
   88       26       21         12          0         1200        90
   89       16       21         18          0         1200        90
   90       15.5     19.2       25          0         1200        90
   91       0        16.5       35          0         1200        90
   92       17.2     14.3       18          0         1200        90
   93       16.5     7.8        12          0         1200        90
   94       16.9     7.7        20          0         1200        90
   95       18       2          1126        0         1200        90
   96       16.2     4          9           0         1200        90
   97       15       4          36          0         1200        90
   98       15       3          12          0         1200        90
   99       14.8     2.4        31          0         1200        90
   100      14.5     3          96          0         1200        90
   101      13       2.6        27          0         1200        90
   102      11.8     3          54          0         1200        90
   103      12       4          137         0         1200        90
   104      12.8     3.6        12          0         1200        90
   105      13.4     5.5        58          0         1200        90
   106      -150     8          206         0         1200        90
   107      -152     1          178         0         1200        90
   108      -152     0          486         0         1200        90
   109      -142     -31        36          0         1200        90
   110      -78      -19        261         0         1200        90
   111      -78      -18        135         0         1200        90
   112      -78      -17        135         0         1200        90
   113      -80      -14        373         0         1200        90
   114      -118     22         535         0         1200        90
   115      -107     30         42          0         1200        90
   116      -85      14         9           0         1200        90
   117      -78      15         110         0         1200        90
   118      -15      16         36          0         1200        90
   119      -62      32         18          0         1200        90
   120      -120     -20        726         0         1200        90
   121      -90      -22        187         0         1200        90
   122      -79      -19        23          0         1200        90
   123      -79      -18.5      134         0         1200        90
   124      -79      -18        47          0         1200        90
   125      -78      -17.5      51          0         1200        90
   126      -79      -17        43          0         1200        90
   127      -80      -17        79          0         1200        90
   128      -80      -16        112         0         1200        90
   129      -80      -15        91          0         1200        90
   130      -48      37         232         0         1200        90
   131      -85      15         483         0         1200        90
   132      -62      -9         828         0         1200        90
   133      -15      -4         11          0         1200        90
   134      -1       3.2        12          0         1200        90
