P-n20-0

HEAVY VEHICLE        
NUMBER     CAPACITY
  2          30

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0       0         0            0          0       1000          5
    1       26        93           2          0       1000          5
    2       47        86           5          0       1000          5
    3       24        24           5          0       1000          5
    4       67        1            5          0       1000          5
    5       19        10           2          0       1000          5
    6       82        14           5          0       1000          5
    7       40        85           2          0       1000          5
    8       83        37           5          0       1000          5
    9       48        100          2          0       1000          5
    10      77        53           2          0       1000          5
    11      32        71           2          0       1000          5
    12      83        21           2          0       1000          5
    13      60        89           5          0       1000          5
    14      30        69           2          0       1000          5
    15      19        99           2          0       1000          5
    16      95        92           2          0       1000          5
    17      51        71           2          0       1000          5
    18      8         72           2          0       1000          5
    19      2         99           5          0       1000          5
    20      87        34           2          0       1000          5
