P-n50-0

HEAVY VEHICLE        
NUMBER     CAPACITY
  1         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME

    0      0          0          1          0        1000          5
    1      238        315        1          0        1000          5
    2      460        8          1          0        1000          5
    3      352        402        1          0        1000          5
    4      100        410        1          0        1000          5
    5      73         431        1          0        1000          5
    6      361        41         1          0        1000          5
    7      2          31         1          0        1000          5
    8      22         295        1          0        1000          5
    9      98         408        1          0        1000          5
    10     198        107        1          0        1000          5
    11     275        179        1          0        1000          5
    12     182        243        1          0        1000          5
    13     0          233        1          0        1000          5
    14     28         140        1          0        1000          5
    15     415        14         1          0        1000          5
    16     151        429        1          0        1000          5
    17     149        321        1          0        1000          5
    18     118        482        1          0        1000          5
    19     475        74         1          0        1000          5
    20     461        150        1          0        1000          5
    21     137        414        1          0        1000          5
    22     63         55         1          0        1000          5
    23     28         84         1          0        1000          5
    24     281        417        1          0        1000          5
    25     237        337        1          0        1000          5
    26     258        18         1          0        1000          5
    27     268        336        1          0        1000          5
    28     412        491        1          0        1000          5
    29     54         164        1          0        1000          5
    30     64         195        1          0        1000          5
    31     68         209        1          0        1000          5
    32     465        330        1          0        1000          5
    33     85         492        1          0        1000          5
    34     346        238        1          0        1000          5
    35     41         148        1          0        1000          5
    36     495        181        1          0        1000          5
    37     377        235        1          0        1000          5
    38     491        244        1          0        1000          5
    39     392        256        1          0        1000          5
    40     363        303        1          0        1000          5
    41     299        204        1          0        1000          5
    42     81,        69,        1          0        1000          5
    43     175        282        1          0        1000          5
    44     0          112        1          0        1000          5
    45     411        42         1          0        1000          5
    46     211        457        1          0        1000          5
    47     156        379        1          0        1000          5
    48     457        257        1          0        1000          5
    49     448        306        1          0        1000          5
    50     415        165        1          0        1000          5
