generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,avg_cost
0,10,0.0004335230907975144,0.0005250219011536855,0.00046427955295336225,3.1964242337326625e-05,2153.8747369743674
1,10,0.000418868520169184,0.0005146773213027588,0.00046989307765291555,2.6972511491800722e-05,2128.143715150972
2,8,0.00045008989013280013,0.0005029140431570142,0.0004699439037217265,1.712716603082606e-05,2127.9135490012486
3,10,0.0004269966390198961,0.0005057254510727734,0.0004572121703388668,1.9359690055817916e-05,2187.1683758086347
4,4,0.0004433222009016336,0.0005057254510727734,0.0004616907065283763,1.805732022146987e-05,2165.952196697592
5,6,0.00044358879194259296,0.0005057254510727734,0.0004704209534793665,2.3272703912255477e-05,2125.7556505587536
6,10,0.0004367172048110541,0.0004992001376278235,0.0004703826686777839,2.1835541314889408e-05,2125.9286674207983
7,8,0.0004336292427708215,0.0005147289185787352,0.00046442602349017084,2.0717856743019886e-05,2153.1954486206005
8,6,0.0004388133213200454,0.0005600680416985621,0.00047763428188434437,3.509932650417693e-05,2093.6520637815997
9,8,0.0004458837034990113,0.000510154852714364,0.0004692716053871153,2.0230877316818966e-05,2130.9620878831397
10,8,0.0004458837034990113,0.0005482532459415004,0.0004838630687712247,3.380710358104704e-05,2066.700404598992
11,10,0.0004415742480478199,0.0005154263747262918,0.0004741150743419663,2.3840236167181066e-05,2109.1925866055194
12,8,0.00043557187271382064,0.0005154263747262918,0.0004736080238257966,2.2269099444093564e-05,2111.4507138667523
13,10,0.0004405042929134445,0.0005154263747262918,0.00047598387553948274,2.6328060985756056e-05,2100.911504337399
14,8,0.0004181813895055191,0.0005274566600358529,0.0004823689020274278,3.7908467600121455e-05,2073.102133651102
15,8,0.0004181813895055191,0.0005704318408367248,0.0004869230896605158,5.235712430953731e-05,2053.712426529625
16,10,0.0004362878031371541,0.0005264291604981109,0.00048257364554389224,2.703514805802123e-05,2072.222570034744
17,6,0.0004362878031371541,0.0004923855756321544,0.00046716988378321303,1.9912902423852657e-05,2140.548941001606
18,10,0.000440361052993931,0.000571384603844008,0.0004757795117041966,3.5730489724089154e-05,2101.813918842566
19,8,0.0004348152430797895,0.0005351430830714762,0.000475806880696005,2.7344874825710053e-05,2101.693019943745
20,6,0.0004296455358904023,0.0005068099120531382,0.0004635296150746025,2.1677225926040374e-05,2157.3594598460677
21,8,0.0004296455358904023,0.00048011087658314175,0.00045270350529631775,1.846680520330199e-05,2208.951307645494
22,8,0.0004296455358904023,0.00047524349565056863,0.00045105047452801653,1.673775184447071e-05,2217.0467751894275
23,10,0.000421310296802057,0.0005281656571754066,0.0004671332233603218,3.134227507088818e-05,2140.716930400502
24,8,0.00040774467916327936,0.0005043149753196518,0.00046215441333390627,3.359007338672759e-05,2163.7789689947213
25,8,0.00041286123306069145,0.0005055946142107095,0.00047721423819995846,3.134889673963513e-05,2095.494895064275
26,8,0.00042077224555725403,0.0005055946142107095,0.00047598490435689903,3.0203387877422674e-05,2100.9069633229133
27,10,0.00041221613506660804,0.0005068834418155843,0.00046524896986462766,3.0089523403206802e-05,2149.3868117343013
28,10,0.0004646500125716312,0.0005018397257398796,0.00048364545256095973,1.2198036690268403e-05,2067.6303161848873
29,8,0.0004573559622460991,0.0005354530141561068,0.0004919626143720072,2.1691817053267057e-05,2032.674782161049
30,10,0.0004573559622460991,0.000521783769670749,0.0004868250891529079,1.8779077157221026e-05,2054.1258498818
31,10,0.00045651918439207746,0.0005328819419211981,0.0004886225517534891,2.889041164781356e-05,2046.569476605946
32,8,0.00048388340818997504,0.0005328819419211981,0.0005009157610329172,1.7117168920417583e-05,1996.3436525493673
33,10,0.00041221613506660804,0.0005190752476517682,0.0004836605768692052,2.820658813300437e-05,2067.5656603503303
34,8,0.0004183106955696798,0.000521783769670749,0.00047733716532370773,2.578422026133878e-05,2094.9552489210573
35,8,0.000458393150260383,0.0005013181684878898,0.0004803190874021738,1.5489453441245066e-05,2081.9493254131175
36,8,0.00041221613506660804,0.0005037796242842246,0.0004807287940480954,2.672742136334646e-05,2080.1749601459346
37,8,0.00046122904091633083,0.0005018397257398796,0.00048662678688815694,1.3327394809574026e-05,2054.9629139709346
38,8,0.00046122904091633083,0.0005018397257398796,0.0004788917251096586,1.4883370730003569e-05,2088.1546862623613
39,8,0.00046122904091633083,0.0004955184170124549,0.0004740359215765652,1.084174209272038e-05,2109.5447717847314
40,8,0.00043686535027961585,0.00048330219505268984,0.0004674851596092477,1.772949180744658e-05,2139.1053372386414
41,8,0.00043686535027961585,0.00048509845863656806,0.00047210370077316744,1.4975815266147018e-05,2118.1786932877103
42,8,0.00045465563517644474,0.00048384811171535706,0.0004712707418472495,1.227652106166426e-05,2121.922519697021
43,8,0.00043647454947979235,0.00048200480970745366,0.0004628586940560006,1.8910562471679493e-05,2160.4865866017662
44,10,0.0004453727201863083,0.00048384811171535706,0.0004657509498971077,1.5960035989013595e-05,2147.0702318930685
45,8,0.0004453727201863083,0.00048384811171535706,0.00047102106267363366,1.180896845265484e-05,2123.0473098670986
46,6,0.00045465563517644474,0.00048509845863656806,0.0004690523448989783,1.075169000337697e-05,2131.958215058863
47,8,0.00045465563517644474,0.0004852135334992726,0.0004675540059574827,1.105088023520945e-05,2138.790358457405
48,6,0.00045465563517644474,0.0004852135334992726,0.00046767334366319273,1.0988198839285017e-05,2138.24459646812
49,10,0.00045465563517644474,0.0004852135334992726,0.0004697624280285754,1.1539704984080779e-05,2128.7355913001425
