generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,1.2795794678211802e-05,1.939079218620806e-05,1.568041029468039e-05,1.2727749984971788e-06
1,343,1.2970300103208905e-05,1.939079218620806e-05,1.5779115363183273e-05,1.3348614367153134e-06
2,332,1.2970300103208905e-05,1.939079218620806e-05,1.580546212394954e-05,1.2975265766041654e-06
3,311,1.2970300103208905e-05,1.939079218620806e-05,1.5827930971219975e-05,1.231129460000038e-06
4,341,1.2970300103208905e-05,1.939079218620806e-05,1.5940934098453995e-05,1.2904548719174884e-06
5,343,1.2970300103208905e-05,1.939079218620806e-05,1.6112615155243416e-05,1.3682766256456372e-06
6,339,1.310741540456087e-05,1.939079218620806e-05,1.6248306164305985e-05,1.3820634145149036e-06
7,345,1.310741540456087e-05,1.939079218620806e-05,1.6280968662464893e-05,1.349960680047653e-06
8,361,1.310741540456087e-05,1.939079218620806e-05,1.6340659153167066e-05,1.4780195630277325e-06
9,337,1.310741540456087e-05,1.939079218620806e-05,1.6440967994715033e-05,1.4526995777475133e-06
10,350,1.310741540456087e-05,1.939079218620806e-05,1.6642375669040757e-05,1.5016115373028778e-06
11,342,1.310741540456087e-05,1.939079218620806e-05,1.6772285152279005e-05,1.453445978056155e-06
12,357,1.310741540456087e-05,1.939079218620806e-05,1.6966759740812172e-05,1.4049195922942243e-06
13,357,1.4331546239676327e-05,1.939079218620806e-05,1.700913909989208e-05,1.46034409218228e-06
14,341,1.4331546239676327e-05,1.939079218620806e-05,1.716800321561907e-05,1.4311960600628141e-06
15,342,1.4331546239676327e-05,1.939079218620806e-05,1.7266829608182532e-05,1.447716955778506e-06
16,352,1.4331546239676327e-05,1.939079218620806e-05,1.7395797438675076e-05,1.3993559572143077e-06
17,318,1.4331546239676327e-05,1.939079218620806e-05,1.734181965409674e-05,1.4005293177918309e-06
18,340,1.4331546239676327e-05,1.939079218620806e-05,1.7490815820566186e-05,1.3929959775187126e-06
19,329,1.4331546239676327e-05,1.939079218620806e-05,1.7523485270534322e-05,1.3998948181460753e-06
20,349,1.4331546239676327e-05,1.939079218620806e-05,1.7590329042486657e-05,1.3893646623895898e-06
21,330,1.4506646113646085e-05,1.939079218620806e-05,1.770329887049222e-05,1.3223309159116027e-06
22,318,1.4506646113646085e-05,1.939079218620806e-05,1.777900176928791e-05,1.3010982668011206e-06
23,355,1.4506646113646085e-05,1.939079218620806e-05,1.7882935888243794e-05,1.2863709271215816e-06
24,335,1.4506646113646085e-05,1.939079218620806e-05,1.7961681258607046e-05,1.2276125983197893e-06
25,350,1.4506646113646085e-05,1.939079218620806e-05,1.791377444183935e-05,1.2169096196255364e-06
26,354,1.4506646113646085e-05,1.939079218620806e-05,1.7993202385322567e-05,1.1771814300319506e-06
27,344,1.4506646113646085e-05,1.939079218620806e-05,1.804385457335906e-05,1.1486687880352473e-06
28,332,1.4506646113646085e-05,1.939079218620806e-05,1.817190811260951e-05,1.1257306997058914e-06
29,341,1.4506646113646085e-05,1.939079218620806e-05,1.8257066965228242e-05,1.096663485543405e-06
30,330,1.4506646113646085e-05,1.939079218620806e-05,1.8340989281842884e-05,1.0484565444303416e-06
31,336,1.4506646113646085e-05,1.939079218620806e-05,1.832598218801795e-05,1.1109333007153442e-06
32,346,1.4506646113646085e-05,1.939079218620806e-05,1.8297649936410786e-05,1.1003654119017452e-06
33,323,1.4506646113646085e-05,1.939079218620806e-05,1.8349903143893036e-05,1.0399722233499012e-06
34,349,1.4966758131830121e-05,1.939079218620806e-05,1.8403129646016612e-05,9.308691535291588e-07
35,329,1.4966758131830121e-05,1.939079218620806e-05,1.84231038258038e-05,9.067461513923155e-07
36,344,1.4966758131830121e-05,1.939079218620806e-05,1.84960568645635e-05,8.627670815609253e-07
37,331,1.4966758131830121e-05,1.939079218620806e-05,1.8497318207701768e-05,9.1968958539376e-07
38,345,1.4966758131830121e-05,1.939079218620806e-05,1.8612541367694716e-05,8.587715766207279e-07
39,344,1.4966758131830121e-05,1.939079218620806e-05,1.8655641973172264e-05,8.050833307490516e-07
40,352,1.5834430091682098e-05,1.939079218620806e-05,1.8698679613896927e-05,7.0641189045057e-07
41,344,1.5834430091682098e-05,1.939079218620806e-05,1.8753495085497716e-05,6.469114104562822e-07
42,333,1.611657589251004e-05,1.939079218620806e-05,1.8775066422001392e-05,6.037194681860568e-07
43,352,1.611657589251004e-05,1.939079218620806e-05,1.8788514767496482e-05,5.688389614164246e-07
44,336,1.611657589251004e-05,1.939079218620806e-05,1.881435672805211e-05,5.466086864238741e-07
45,337,1.611657589251004e-05,1.939079218620806e-05,1.8796847950484426e-05,5.577310666291381e-07
46,336,1.643872115204236e-05,1.939079218620806e-05,1.880683666188828e-05,5.389757150261635e-07
47,365,1.643872115204236e-05,1.939079218620806e-05,1.8798576917448786e-05,5.80992850835662e-07
48,325,1.643872115204236e-05,1.939079218620806e-05,1.8805659829857965e-05,5.769702029380622e-07
49,330,1.643872115204236e-05,1.939079218620806e-05,1.876425323090405e-05,6.581207900664501e-07
50,347,1.643872115204236e-05,1.939079218620806e-05,1.882944259564696e-05,5.767629862369531e-07
51,339,1.643872115204236e-05,1.939079218620806e-05,1.8851130781190036e-05,5.270053845350015e-07
52,339,1.643872115204236e-05,1.939079218620806e-05,1.8821235816105475e-05,5.75830485046284e-07
53,347,1.643872115204236e-05,1.939079218620806e-05,1.8814612688201057e-05,5.99419256356026e-07
54,340,1.643872115204236e-05,1.939079218620806e-05,1.8815265324987524e-05,5.790744846410768e-07
55,352,1.643872115204236e-05,1.939079218620806e-05,1.884534078647312e-05,5.430585760762894e-07
56,337,1.643872115204236e-05,1.939079218620806e-05,1.885783722686645e-05,5.316726451604789e-07
57,336,1.643872115204236e-05,1.939079218620806e-05,1.8860408507524753e-05,5.363003555996941e-07
58,350,1.643872115204236e-05,1.939079218620806e-05,1.890444015067987e-05,4.5252997916670854e-07
59,325,1.7636274398532615e-05,1.939079218620806e-05,1.8919447704233075e-05,4.096759231447704e-07
60,359,1.7636274398532615e-05,1.939079218620806e-05,1.896642913764361e-05,3.802323145451269e-07
61,347,1.7636274398532615e-05,1.939079218620806e-05,1.898573360815962e-05,3.6183915205549666e-07
62,335,1.7636274398532615e-05,1.939079218620806e-05,1.8988566128723187e-05,3.5564599809773307e-07
63,346,1.7636274398532615e-05,1.939079218620806e-05,1.8980419253979303e-05,3.690684655777682e-07
64,348,1.7636274398532615e-05,1.939079218620806e-05,1.8991793746594922e-05,3.3618321322051756e-07
65,340,1.7636274398532615e-05,1.939079218620806e-05,1.899479653352429e-05,3.3306646656821664e-07
66,338,1.7636274398532615e-05,1.939079218620806e-05,1.897525304904647e-05,3.233682798622699e-07
67,344,1.7636274398532615e-05,1.939079218620806e-05,1.8970368052982273e-05,3.431713425437308e-07
68,335,1.7636274398532615e-05,1.939079218620806e-05,1.8997561858763916e-05,3.305930362036065e-07
69,326,1.7636274398532615e-05,1.939079218620806e-05,1.901890911354204e-05,3.100811247212132e-07
70,327,1.7636274398532615e-05,1.939079218620806e-05,1.9012844345757862e-05,3.087676766060048e-07
71,342,1.7636274398532615e-05,1.939079218620806e-05,1.8988827596301536e-05,3.286132562269484e-07
72,356,1.7636274398532615e-05,1.939079218620806e-05,1.8992758442942057e-05,3.236304108837955e-07
73,328,1.7636274398532615e-05,1.939079218620806e-05,1.90126195148155e-05,3.267190978173728e-07
74,316,1.7636274398532615e-05,1.939079218620806e-05,1.899467884395359e-05,3.390440567414737e-07
75,331,1.7636274398532615e-05,1.939079218620806e-05,1.8996568756545488e-05,3.363006736111439e-07
76,348,1.7636274398532615e-05,1.939079218620806e-05,1.902783126940067e-05,3.1997842920898214e-07
77,340,1.8270006248496823e-05,1.939079218620806e-05,1.9035812271824136e-05,3.104935785825345e-07
78,343,1.8270006248496823e-05,1.939079218620806e-05,1.9070650874043317e-05,3.0922733731387526e-07
79,345,1.8270006248496823e-05,1.939079218620806e-05,1.9085495934222956e-05,3.0861552681573195e-07
80,353,1.8270006248496823e-05,1.939079218620806e-05,1.909709627977671e-05,3.037670758167977e-07
81,336,1.8270006248496823e-05,1.939079218620806e-05,1.9113713793619285e-05,3.015045868803393e-07
82,329,1.8270006248496823e-05,1.939079218620806e-05,1.9124184563758386e-05,2.991795300510619e-07
83,345,1.8270006248496823e-05,1.939079218620806e-05,1.9144876637918156e-05,3.0283063051950143e-07
84,341,1.8270006248496823e-05,1.939079218620806e-05,1.913975940539598e-05,3.0162796839552995e-07
85,345,1.8270006248496823e-05,1.939079218620806e-05,1.9169018482460854e-05,3.0749202403666106e-07
86,343,1.8270006248496823e-05,1.939079218620806e-05,1.9148419627730947e-05,3.2162725901509615e-07
87,366,1.8270006248496823e-05,1.939079218620806e-05,1.9158853295288752e-05,3.1342900234834527e-07
88,345,1.8270006248496823e-05,1.939079218620806e-05,1.917422261819269e-05,3.1056635046834956e-07
89,366,1.8270006248496823e-05,1.939079218620806e-05,1.9186597155565768e-05,2.98888195248533e-07
90,346,1.8270006248496823e-05,1.939079218620806e-05,1.92022720614367e-05,2.966806459286265e-07
91,360,1.8270006248496823e-05,1.939079218620806e-05,1.921380405507145e-05,2.8707965547561505e-07
92,351,1.8270006248496823e-05,1.939079218620806e-05,1.9233984564553967e-05,2.739783283730765e-07
93,339,1.8270006248496823e-05,1.939079218620806e-05,1.9218808062336622e-05,2.92469982380319e-07
94,342,1.8270006248496823e-05,1.939079218620806e-05,1.924297576595002e-05,2.789458052950133e-07
95,332,1.8270006248496823e-05,1.939079218620806e-05,1.9268710404492755e-05,2.569429645938822e-07
96,335,1.8270006248496823e-05,1.939079218620806e-05,1.928237023538579e-05,2.4028163845872514e-07
97,339,1.8270006248496823e-05,1.939079218620806e-05,1.9304510165974258e-05,2.1753891362094805e-07
98,347,1.8769282623956826e-05,1.939079218620806e-05,1.9323049998341507e-05,1.8873981760546847e-07
99,346,1.8769282623956826e-05,1.939079218620806e-05,1.9329552125640347e-05,1.7965190062712094e-07
100,338,1.8769282623956826e-05,1.939079218620806e-05,1.933645990013951e-05,1.7092752668106333e-07
101,332,1.8769282623956826e-05,1.939079218620806e-05,1.9332372641775266e-05,1.760817070446659e-07
102,341,1.8769282623956826e-05,1.939079218620806e-05,1.934704928580257e-05,1.5433343436024184e-07
103,335,1.8769282623956826e-05,1.939079218620806e-05,1.9348603059708204e-05,1.5161346431782152e-07
104,331,1.8769282623956826e-05,1.939079218620806e-05,1.9347167901326576e-05,1.564692994620589e-07
105,345,1.8769282623956826e-05,1.939079218620806e-05,1.935338299694908e-05,1.4533936529842022e-07
106,342,1.8769282623956826e-05,1.939079218620806e-05,1.9356203513084012e-05,1.40424579569709e-07
107,339,1.8769282623956826e-05,1.939079218620806e-05,1.936794102545239e-05,1.125254325001393e-07
108,345,1.8769282623956826e-05,1.939079218620806e-05,1.9367653993776068e-05,1.1389733775555189e-07
109,350,1.8769282623956826e-05,1.939079218620806e-05,1.9364833477641135e-05,1.20173477259245e-07
110,360,1.8769282623956826e-05,1.939079218620806e-05,1.9355797865883696e-05,1.3914452120667318e-07
111,330,1.8769282623956826e-05,1.939079218620806e-05,1.935211625471978e-05,1.4720395789460587e-07
112,353,1.8769282623956826e-05,1.939079218620806e-05,1.9353670028625413e-05,1.4429515921406413e-07
113,323,1.8769282623956826e-05,1.939079218620806e-05,1.934279361128601e-05,1.6326384088707418e-07
114,342,1.8769282623956826e-05,1.939079218620806e-05,1.9333183936175908e-05,1.7820824193514942e-07
115,339,1.8769282623956826e-05,1.939079218620806e-05,1.933968606347475e-05,1.6816206419705352e-07
116,350,1.8769282623956826e-05,1.939079218620806e-05,1.9342219547933343e-05,1.6506757927224945e-07
117,332,1.8769282623956826e-05,1.939079218620806e-05,1.9332204225622928e-05,1.7878020640021314e-07
118,343,1.8769282623956826e-05,1.939079218620806e-05,1.934377332183898e-05,1.6257351558273662e-07
119,339,1.8769282623956826e-05,1.939079218620806e-05,1.93474549330029e-05,1.5551132241888762e-07
120,355,1.8769282623956826e-05,1.939079218620806e-05,1.9338132289569127e-05,1.705371989963066e-07
121,344,1.8769282623956826e-05,1.939079218620806e-05,1.9346475222449924e-05,1.5625594068598934e-07
122,350,1.8769282623956826e-05,1.939079218620806e-05,1.935861838201863e-05,1.3395188266842517e-07
123,336,1.8769282623956826e-05,1.939079218620806e-05,1.93717412521403e-05,1.0438221767863923e-07
124,353,1.8769282623956826e-05,1.939079218620806e-05,1.937582851050453e-05,9.372982356503123e-08
125,334,1.8769282623956826e-05,1.939079218620806e-05,1.9375828510504536e-05,9.372982356310073e-08
126,342,1.8769282623956826e-05,1.939079218620806e-05,1.93730079943696e-05,1.0149115048517689e-07
127,342,1.8769282623956826e-05,1.939079218620806e-05,1.9372720962693266e-05,1.0302423490013974e-07
128,333,1.8769282623956826e-05,1.939079218620806e-05,1.937145422046397e-05,1.0587001240727778e-07
129,342,1.8769282623956826e-05,1.939079218620806e-05,1.9372028283816627e-05,1.0287210717016482e-07
130,324,1.8769282623956826e-05,1.939079218620806e-05,1.9374156121074908e-05,9.510335685054022e-08
131,345,1.8769282623956826e-05,1.939079218620806e-05,1.9375135831627884e-05,9.358558835597031e-08
132,340,1.8769282623956826e-05,1.939079218620806e-05,1.9374443152751238e-05,9.343599553945172e-08
133,345,1.8769282623956826e-05,1.939079218620806e-05,1.9373463442198272e-05,9.494900814994446e-08
134,348,1.8769282623956826e-05,1.939079218620806e-05,1.93775507005625e-05,8.301125547348448e-08
135,320,1.8884095294487725e-05,1.939079218620806e-05,1.938445847506166e-05,5.629525601721004e-08
136,336,1.8884095294487725e-05,1.939079218620806e-05,1.938445847506166e-05,5.629525601721004e-08
137,357,1.8884095294487725e-05,1.939079218620806e-05,1.937939150614445e-05,7.514461818437371e-08
138,326,1.8884095294487725e-05,1.939079218620806e-05,1.9383191732832357e-05,6.159025252201842e-08
139,336,1.8884095294487725e-05,1.939079218620806e-05,1.9384458475061656e-05,5.629525601904674e-08
140,335,1.8884095294487725e-05,1.939079218620806e-05,1.938445847506166e-05,5.629525601721004e-08
141,347,1.8884095294487725e-05,1.939079218620806e-05,1.938572521729096e-05,5.0415704128273456e-08
142,331,1.8884095294487725e-05,1.939079218620806e-05,1.938699195952026e-05,4.371637363498323e-08
143,340,1.8884095294487725e-05,1.939079218620806e-05,1.938572521729096e-05,5.0415704128786176e-08
144,340,1.8884095294487725e-05,1.939079218620806e-05,1.938572521729096e-05,5.0415704128786176e-08
145,343,1.8884095294487725e-05,1.939079218620806e-05,1.938192499060306e-05,6.644059970668795e-08
146,332,1.8884095294487725e-05,1.939079218620806e-05,1.9383191732832357e-05,6.159025252201842e-08
147,340,1.8884095294487725e-05,1.939079218620806e-05,1.938572521729096e-05,5.0415704128786176e-08
148,329,1.8884095294487725e-05,1.939079218620806e-05,1.938572521729096e-05,5.0415704128273456e-08
149,323,1.8884095294487725e-05,1.939079218620806e-05,1.9388258701749562e-05,3.573919631044146e-08
150,346,1.8884095294487725e-05,1.939079218620806e-05,1.9388258701749562e-05,3.573919631044146e-08
151,334,1.8884095294487725e-05,1.939079218620806e-05,1.9388258701749562e-05,3.573919631044146e-08
152,339,1.8884095294487725e-05,1.939079218620806e-05,1.938952544397886e-05,2.53031561336694e-08
153,340,1.8884095294487725e-05,1.939079218620806e-05,1.938699195952026e-05,4.371637363498323e-08
154,339,1.8884095294487725e-05,1.939079218620806e-05,1.9388258701749562e-05,3.573919630899491e-08
155,337,1.8884095294487725e-05,1.939079218620806e-05,1.938952544397886e-05,2.53031561336694e-08
156,348,1.8884095294487725e-05,1.939079218620806e-05,1.938699195952026e-05,4.371637363498323e-08
157,347,1.8884095294487725e-05,1.939079218620806e-05,1.938699195952026e-05,4.371637363498323e-08
158,346,1.8884095294487725e-05,1.939079218620806e-05,1.9380658248373754e-05,7.09375648140112e-08
159,332,1.8884095294487725e-05,1.939079218620806e-05,1.9383191732832357e-05,6.159025252201842e-08
160,340,1.8884095294487725e-05,1.939079218620806e-05,1.938192499060306e-05,6.644059970629888e-08
161,336,1.8884095294487725e-05,1.939079218620806e-05,1.937812476391515e-05,7.910802684046001e-08
162,336,1.8884095294487725e-05,1.939079218620806e-05,1.9381924990603057e-05,6.644059970785512e-08
163,330,1.8884095294487725e-05,1.939079218620806e-05,1.9380658248373757e-05,7.09375648132824e-08
164,362,1.8884095294487725e-05,1.939079218620806e-05,1.9380658248373754e-05,7.09375648132824e-08
165,344,1.8884095294487725e-05,1.939079218620806e-05,1.9380658248373757e-05,7.093756481182482e-08
166,350,1.8884095294487725e-05,1.939079218620806e-05,1.9381924990603057e-05,6.644059970746606e-08
167,354,1.8884095294487725e-05,1.939079218620806e-05,1.9383191732832357e-05,6.159025252201842e-08
168,342,1.8884095294487725e-05,1.939079218620806e-05,1.938952544397886e-05,2.53031561336694e-08
169,349,1.8884095294487725e-05,1.939079218620806e-05,1.938952544397886e-05,2.53031561336694e-08
170,364,1.8884095294487725e-05,1.939079218620806e-05,1.938699195952026e-05,4.371637363498323e-08
171,338,1.8884095294487725e-05,1.939079218620806e-05,1.9383191732832357e-05,6.159025252201842e-08
172,344,1.8884095294487725e-05,1.939079218620806e-05,1.938699195952026e-05,4.371637363498323e-08
173,355,1.8884095294487725e-05,1.939079218620806e-05,1.9388258701749562e-05,3.573919630899491e-08
174,345,1.8884095294487725e-05,1.939079218620806e-05,1.9388258701749562e-05,3.573919631044146e-08
175,362,1.8884095294487725e-05,1.939079218620806e-05,1.938572521729096e-05,5.0415704128786176e-08
176,336,1.8884095294487725e-05,1.939079218620806e-05,1.9388258701749562e-05,3.573919630899491e-08
177,322,1.8884095294487725e-05,1.939079218620806e-05,1.938952544397886e-05,2.53031561336694e-08
178,344,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
179,337,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
180,340,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
181,342,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
182,338,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
183,350,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
184,321,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
185,338,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
186,329,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
187,334,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
188,340,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
189,346,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
190,343,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
191,345,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
192,346,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
193,344,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
194,340,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
195,347,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
196,330,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
197,341,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
198,331,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
199,334,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
200,343,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
201,350,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
202,324,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
203,363,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
204,349,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
205,355,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
206,355,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
207,332,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
208,336,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
209,330,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
210,347,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
211,338,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
212,334,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
213,337,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
214,336,1.939079218620806e-05,1.939079218620806e-05,1.9390792186208164e-05,2.0209414327190617e-12
