generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,68,6.345187596793014e-05,9.762614928575046e-05,7.914982009403448e-05,8.554739349648046e-06
1,72,6.345187596793014e-05,9.762614928575046e-05,7.970425605610822e-05,9.228409963764607e-06
2,68,6.763928282088895e-05,9.762614928575046e-05,8.237730943169831e-05,9.432464945139173e-06
3,62,6.763928282088895e-05,9.762614928575046e-05,8.19957676353072e-05,9.688407735988664e-06
4,72,6.763928282088895e-05,9.762614928575046e-05,8.398131723364995e-05,1.0054840422962528e-05
5,70,6.763928282088895e-05,9.762614928575046e-05,8.41267074569617e-05,1.0005283624584756e-05
6,64,6.84803770012078e-05,9.762614928575046e-05,8.655535328638627e-05,9.436171217604787e-06
7,64,6.84803770012078e-05,9.762614928575046e-05,8.78379852738014e-05,8.378802048962464e-06
8,68,7.093969173249255e-05,9.762614928575046e-05,8.988924201167049e-05,7.082891421626782e-06
9,71,7.473787545464752e-05,9.762614928575046e-05,8.93598262396934e-05,6.742437587139888e-06
10,61,7.473787545464752e-05,9.762614928575046e-05,8.938367573151376e-05,6.377242413975566e-06
11,70,7.473787545464752e-05,9.762614928575046e-05,8.981354386431891e-05,6.327423144676016e-06
12,68,7.473787545464752e-05,9.762614928575046e-05,9.022366051087585e-05,6.128833033643126e-06
13,76,7.473787545464752e-05,9.762614928575046e-05,9.163199091162896e-05,5.825772806816257e-06
14,64,7.473787545464752e-05,9.762614928575046e-05,9.186515857815158e-05,5.594156490864049e-06
15,65,7.473787545464752e-05,9.762614928575046e-05,9.084150241499648e-05,6.023636207562672e-06
16,73,7.473787545464752e-05,9.762614928575046e-05,9.150861133562647e-05,5.986073840134767e-06
17,66,7.473787545464752e-05,9.762614928575046e-05,9.111585356949042e-05,5.486418132587455e-06
18,74,8.751099502488094e-05,9.762614928575046e-05,9.309080693388442e-05,4.672262100566952e-06
19,72,8.751099502488094e-05,9.762614928575046e-05,9.343892031734915e-05,4.615252720038932e-06
20,66,8.751099502488094e-05,9.762614928575046e-05,9.408896952295549e-05,4.502457332841538e-06
21,64,8.783505130367205e-05,9.762614928575046e-05,9.41391977877635e-05,4.411591602387175e-06
22,74,8.783505130367205e-05,9.762614928575046e-05,9.463682466646414e-05,4.107012758468838e-06
23,70,8.783505130367205e-05,9.762614928575046e-05,9.470205501865047e-05,4.017722031220063e-06
24,70,8.783505130367205e-05,9.762614928575046e-05,9.510732677470485e-05,3.833393973750425e-06
25,74,8.783505130367205e-05,9.762614928575046e-05,9.515350433602799e-05,3.7206512850925066e-06
26,70,8.783505130367205e-05,9.762614928575046e-05,9.522971549948082e-05,3.754751830944062e-06
27,72,8.783505130367205e-05,9.762614928575046e-05,9.490065490687931e-05,3.993696930025662e-06
28,61,8.783505130367205e-05,9.762614928575046e-05,9.5031115611252e-05,3.7975438453099948e-06
29,70,8.783505130367205e-05,9.762614928575046e-05,9.521873468821431e-05,3.61253043081408e-06
30,70,8.783505130367205e-05,9.762614928575046e-05,9.511539875430155e-05,3.70289511272276e-06
31,74,8.783505130367205e-05,9.762614928575046e-05,9.539020980598324e-05,3.6858146231519346e-06
32,68,8.783505130367205e-05,9.762614928575046e-05,9.571927039858476e-05,3.378104369154537e-06
33,65,8.783505130367205e-05,9.762614928575046e-05,9.527589306080396e-05,3.638020713735264e-06
34,76,8.783505130367205e-05,9.762614928575046e-05,9.45796662938745e-05,4.075497390433133e-06
35,64,8.783505130367205e-05,9.762614928575046e-05,9.441917198737209e-05,4.106389608578061e-06
36,66,8.783505130367205e-05,9.762614928575046e-05,9.490872688647601e-05,3.869040517872498e-06
37,74,8.783505130367205e-05,9.762614928575046e-05,9.540926259684644e-05,3.693376164813067e-06
38,68,8.783505130367205e-05,9.762614928575046e-05,9.606738378204949e-05,3.0086719731995774e-06
39,70,8.783505130367205e-05,9.762614928575046e-05,9.584973110295744e-05,3.1096171644981048e-06
40,74,8.783505130367205e-05,9.762614928575046e-05,9.640451635424771e-05,2.3299175073748138e-06
41,58,8.783505130367205e-05,9.762614928575046e-05,9.615973890469574e-05,2.6771595389903966e-06
42,68,8.783505130367205e-05,9.762614928575046e-05,9.598019180733014e-05,2.8095922657583714e-06
43,74,8.783505130367205e-05,9.762614928575046e-05,9.635542996125477e-05,2.090268254852381e-06
44,68,8.783505130367205e-05,9.762614928575046e-05,9.619493565475237e-05,2.278591216489379e-06
45,64,8.783505130367205e-05,9.762614928575046e-05,9.600731657779004e-05,2.6323466572436824e-06
46,66,8.783505130367205e-05,9.762614928575046e-05,9.594208622560371e-05,2.797319742963616e-06
47,68,8.783505130367205e-05,9.762614928575046e-05,9.618395484348586e-05,2.04092884103244e-06
48,58,8.783505130367205e-05,9.762614928575046e-05,9.605349413911317e-05,2.4483600394002935e-06
49,70,8.783505130367205e-05,9.762614928575046e-05,9.570538075564845e-05,2.8886465044934914e-06
50,74,8.783505130367205e-05,9.762614928575046e-05,9.542249772437006e-05,3.1035901109673935e-06
51,60,8.783505130367205e-05,9.762614928575046e-05,9.5789663898698e-05,2.742391878536481e-06
52,62,8.783505130367205e-05,9.762614928575046e-05,9.573250552610836e-05,2.719306386821308e-06
53,70,8.783505130367205e-05,9.762614928575046e-05,9.581678866915793e-05,2.562516242120042e-06
54,72,8.783505130367205e-05,9.762614928575046e-05,9.56482223830588e-05,2.8650580558319717e-06
55,66,8.783505130367205e-05,9.762614928575046e-05,9.623013240480898e-05,1.79284551596063e-06
56,72,9.610192601669352e-05,9.762614928575046e-05,9.657824578827372e-05,7.064963938851848e-07
57,78,9.610192601669352e-05,9.762614928575046e-05,9.657824578827372e-05,7.064963938863556e-07
58,64,9.610192601669352e-05,9.762614928575046e-05,9.661635137000014e-05,7.207396545168811e-07
59,80,9.610192601669352e-05,9.762614928575046e-05,9.646392904309445e-05,6.486349090207206e-07
60,78,9.610192601669352e-05,9.762614928575046e-05,9.661635137000015e-05,7.207396545168811e-07
61,74,9.610192601669352e-05,9.762614928575046e-05,9.665445695172658e-05,7.327278307095099e-07
62,66,9.610192601669352e-05,9.762614928575046e-05,9.665445695172657e-05,7.327278307117676e-07
63,74,9.610192601669352e-05,9.762614928575046e-05,9.659729857913693e-05,7.139078448395268e-07
64,76,9.610192601669352e-05,9.762614928575046e-05,9.659729857913693e-05,7.139078448395268e-07
65,61,9.610192601669352e-05,9.762614928575046e-05,9.659729857913694e-05,7.13907844838368e-07
66,62,9.610192601669352e-05,9.762614928575046e-05,9.65591929974105e-05,6.984868506573121e-07
67,62,9.610192601669352e-05,9.762614928575046e-05,9.661635137000014e-05,7.207396545168811e-07
68,74,9.610192601669352e-05,9.762614928575046e-05,9.665445695172657e-05,7.327278307106388e-07
69,67,9.610192601669352e-05,9.762614928575046e-05,9.657824578827374e-05,7.064963938828431e-07
70,59,9.610192601669352e-05,9.762614928575046e-05,9.657824578827372e-05,7.064963938851848e-07
71,68,9.610192601669352e-05,9.762614928575046e-05,9.648298183395766e-05,6.600080360319515e-07
72,68,9.610192601669352e-05,9.762614928575046e-05,9.63877178796416e-05,5.949232040341748e-07
73,68,9.610192601669352e-05,9.762614928575046e-05,9.650203462482088e-05,6.706474128585685e-07
74,74,9.610192601669352e-05,9.762614928575046e-05,9.646392904309445e-05,6.486349090194453e-07
75,66,9.610192601669352e-05,9.762614928575046e-05,9.648298183395766e-05,6.600080360319515e-07
76,60,9.610192601669352e-05,9.762614928575046e-05,9.644487625223123e-05,6.364886998967377e-07
77,74,9.610192601669352e-05,9.762614928575046e-05,9.633055950705197e-05,5.442565692667058e-07
78,66,9.610192601669352e-05,9.762614928575046e-05,9.633055950705196e-05,5.442565692682256e-07
79,72,9.610192601669352e-05,9.762614928575046e-05,9.629245392532553e-05,5.040894640709861e-07
80,72,9.610192601669352e-05,9.762614928575046e-05,9.629245392532553e-05,5.040894640726271e-07
81,62,9.610192601669352e-05,9.762614928575046e-05,9.625434834359911e-05,4.572669807318167e-07
82,69,9.610192601669352e-05,9.762614928575046e-05,9.625434834359911e-05,4.572669807318167e-07
83,66,9.610192601669352e-05,9.762614928575046e-05,9.619718997100948e-05,3.689557085758422e-07
84,68,9.610192601669352e-05,9.762614928575046e-05,9.614003159841984e-05,2.3796928163480402e-07
85,65,9.610192601669352e-05,9.762614928575046e-05,9.614003159841984e-05,2.3796928163480402e-07
86,68,9.610192601669352e-05,9.762614928575046e-05,9.614003159841984e-05,2.3796928163480402e-07
87,74,9.610192601669352e-05,9.762614928575046e-05,9.614003159841984e-05,2.3796928163480402e-07
88,72,9.610192601669352e-05,9.762614928575046e-05,9.614003159841984e-05,2.37969281631328e-07
89,74,9.610192601669352e-05,9.762614928575046e-05,9.614003159841984e-05,2.3796928163480402e-07
